Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?
Home,?,?,?,?,?,?,?,?,?,?,?
Away,?,?,?,?,?,?,?,?,?,?,?